revenue_id,client_id,date,amount,revenue_type,status
RV-00080,CL-0028,2026-06-15,293.01,one-time,recognized
RV-00081,CL-0029,2026-04-01,469.21,upsell,recognized
RV-00082,CL-0029,2026-05-24,215.3,subscription,recognized
RV-00083,CL-0029,2026-06-08,295.86,one-time,recognized
RV-00084,CL-0030,2026-04-14,321.54,subscription,recognized
RV-00087,CL-0031,2026-05-01,312.36,subscription,recognized
RV-00090,CL-0033,2026-06-01,308.18,subscription,recognized
RV-00091,CL-0034,2026-06-12,234.11,subscription,recognized
RV-00093,CL-0038,2026-02-04,293.33,one-time,recognized
RV-00094,CL-0038,2026-03-11,542.61,one-time,recognized
RV-00095,CL-0039,2026-02-11,242.7,subscription,recognized
RV-00096,CL-0039,2026-03-25,562.35,subscription,recognized
RV-00097,CL-0039,2026-04-16,501.8,upsell,recognized
RV-00098,CL-0039,2026-05-25,339.71,subscription,recognized
RV-00099,CL-0039,2026-06-26,347.53,subscription,recognized
RV-00100,CL-0040,2026-02-10,273.75,subscription,recognized
RV-00101,CL-0040,2026-03-18,422.23,upsell,recognized
RV-00102,CL-0040,2026-04-21,402.5,subscription,recognized
RV-00105,CL-0041,2026-03-13,598.06,one-time,recognized
RV-00106,CL-0041,2026-04-23,339.35,subscription,recognized
RV-00109,CL-0042,2026-04-04,264.81,subscription,recognized
RV-00111,CL-0042,2026-06-15,301.76,subscription,recognized
RV-00112,CL-0043,2026-04-12,199.91,one-time,recognized
RV-00115,CL-0044,2026-04-06,421.15,one-time,recognized
RV-00116,CL-0044,2026-05-26,363.22,subscription,recognized
RV-00117,CL-0044,2026-06-21,222.01,subscription,recognized
RV-00120,CL-0046,2026-04-17,538.65,subscription,recognized
RV-00123,CL-0047,2026-04-23,235.35,one-time,recognized
RV-00124,CL-0047,2026-05-16,292.03,subscription,recognized
RV-00125,CL-0048,2026-04-03,274.08,subscription,recognized
RV-00126,CL-0049,2026-05-03,286.39,subscription,recognized
RV-00129,CL-0050,2026-06-21,401.67,upsell,recognized
RV-00134,CL-0053,2026-05-25,450.82,subscription,recognized
RV-00139,CL-0056,2026-06-06,118.44,subscription,recognized
RV-00144,CL-0059,2026-05-20,172.12,one-time,recognized
RV-00146,CL-0060,2026-05-19,108.09,subscription,recognized
RV-00148,CL-0061,2026-05-10,312.03,subscription,recognized
RV-00150,CL-0062,2026-05-02,305.93,subscription,recognized
RV-00151,CL-0062,2026-06-11,161.0,subscription,recognized
RV-00152,CL-0063,2026-06-24,284.9,one-time,recognized
RV-00154,CL-0065,2026-05-15,234.56,subscription,recognized
RV-00156,CL-0066,2026-05-08,198.33,subscription,recognized
RV-00157,CL-0066,2026-06-19,461.99,one-time,recognized
RV-00160,CL-0068,2026-05-07,406.45,upsell,recognized
RV-00162,CL-0069,2026-05-18,404.9,subscription,recognized
RV-00164,CL-0070,2026-05-13,366.8,subscription,recognized
RV-00167,CL-0071,2026-06-05,383.13,subscription,recognized
RV-00172,CL-0074,2026-05-20,303.65,subscription,recognized
RV-00175,CL-0076,2026-06-01,271.81,subscription,recognized
RV-00181,CL-0079,2026-06-08,340.6,one-time,recognized
RV-00182,CL-0080,2026-05-01,144.11,subscription,recognized
RV-00183,CL-0080,2026-06-07,245.45,subscription,recognized
RV-00184,CL-0081,2026-05-28,262.88,upsell,recognized
RV-00186,CL-0082,2026-06-17,170.63,one-time,recognized
RV-00187,CL-0083,2026-05-18,264.74,subscription,recognized
RV-00189,CL-0084,2026-05-16,355.33,subscription,recognized
RV-00191,CL-0085,2026-05-23,464.67,one-time,recognized
RV-00192,CL-0085,2026-06-12,191.7,subscription,recognized
RV-00193,CL-0086,2026-05-10,326.76,one-time,recognized
RV-00194,CL-0086,2026-06-13,162.61,subscription,recognized
RV-00196,CL-0087,2026-06-15,148.04,subscription,recognized
RV-00198,CL-0088,2026-06-05,319.05,one-time,recognized
RV-00199,CL-0090,2026-06-02,161.52,subscription,recognized
RV-00200,CL-0091,2026-01-21,494.82,subscription,recognized
RV-00201,CL-0091,2026-02-11,289.43,subscription,recognized
RV-00202,CL-0091,2026-03-25,517.16,subscription,recognized
RV-00203,CL-0091,2026-04-06,244.61,upsell,recognized
RV-00204,CL-0091,2026-05-16,273.61,one-time,recognized
RV-00206,CL-0092,2026-01-03,483.57,upsell,recognized
RV-00207,CL-0092,2026-02-24,486.58,subscription,recognized
RV-00208,CL-0092,2026-03-06,519.87,upsell,recognized
RV-00209,CL-0092,2026-04-02,376.41,one-time,recognized
RV-00210,CL-0092,2026-05-24,408.27,subscription,recognized
RV-00211,CL-0092,2026-06-01,464.8,one-time,recognized
RV-00212,CL-0093,2026-01-11,320.24,subscription,recognized
RV-00213,CL-0093,2026-02-18,313.74,upsell,recognized
RV-00214,CL-0093,2026-03-05,426.43,one-time,recognized
RV-00215,CL-0093,2026-04-07,580.0,subscription,recognized
RV-00218,CL-0094,2026-01-07,318.66,one-time,recognized
RV-00219,CL-0094,2026-02-13,262.48,one-time,recognized
RV-00220,CL-0094,2026-03-03,568.69,subscription,recognized
RV-00221,CL-0094,2026-04-05,368.39,subscription,recognized
RV-00223,CL-0094,2026-06-10,203.7,upsell,recognized
RV-00224,CL-0095,2026-01-09,453.76,subscription,recognized
RV-00225,CL-0095,2026-02-02,487.23,one-time,recognized
RV-00226,CL-0095,2026-03-06,493.86,subscription,recognized
RV-00227,CL-0095,2026-04-23,370.55,subscription,recognized
RV-00228,CL-0095,2026-05-10,372.81,subscription,recognized
RV-00229,CL-0095,2026-06-16,209.59,upsell,recognized
RV-00230,CL-0096,2026-01-20,252.0,one-time,recognized
RV-00231,CL-0096,2026-02-16,355.6,one-time,recognized
RV-00232,CL-0096,2026-03-27,535.95,one-time,recognized
RV-00233,CL-0096,2026-04-25,282.65,subscription,recognized
